Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
DarPaso,Caminar,Pausa,Neutral,0.0,863.7239999999999,117.961,0.8844700000000001,885.711,156.091,0.87056,819.67,157.591,0.7787,804.961,228.03400000000002,0.8796649999999999,829.959,301.447,0.8427049999999999,951.785,154.626,0.796675,979.6489999999999,223.62400000000002,0.863007,953.2439999999999,264.756,0.8673719999999999,904.794,310.25,0.749991,871.035,313.186,0.721178,894.533,386.605,0.711738,940.035,308.765,0.685811,957.687,421.84,0.7739550000000001
DarPaso,Caminar,Pausa,Neutral,0.0,865.1460000000001,125.29899999999999,0.882014,887.183,163.447,0.831307,822.5989999999999,164.926,0.767633,809.3660000000001,232.43900000000002,0.844406,825.539,311.691,0.846017,954.698,161.997,0.774457,981.1260000000001,230.988,0.8445370000000001,951.768,276.466,0.86392,901.87,313.177,0.73542,866.622,314.675,0.688405,897.429,391.006,0.769784,937.096,311.722,0.687882,957.664,432.087,0.766929
DarPaso,Caminar,Pausa,Neutral,0.0,865.184,134.108,0.900341,888.6610000000001,170.771,0.843025,825.5310000000001,169.354,0.7935949999999999,815.2410000000001,241.24400000000003,0.8800520000000001,821.1160000000001,320.498,0.855851,956.178,172.25099999999998,0.7749,981.174,244.204,0.8388979999999999,948.857,288.212,0.8567389999999999,901.8919999999999,322.005,0.7435039999999999,868.1089999999999,324.913,0.69311,897.4839999999999,393.941,0.7459140000000001,935.6489999999999,321.976,0.6985239999999999,957.659,435.04,0.753954
DarPaso,Caminar,Pausa,Neutral,0.0,865.191,139.953,0.856145,891.578,176.65099999999998,0.8069310000000001,826.998,172.25400000000002,0.8030109999999999,816.755,244.169,0.8772840000000001,816.752,320.54200000000003,0.8731129999999999,957.63,181.047,0.779355,984.0930000000001,251.535,0.8163060000000001,945.942,297.031,0.890337,903.342,335.208,0.7237359999999999,868.1039999999999,336.67800000000005,0.670384,898.924,405.652,0.667863,938.564,333.75199999999995,0.669661,957.659,442.38800000000003,0.756596
DarPaso,Caminar,Pausa,Neutral,0.0,865.176,147.29399999999998,0.883452,891.597,181.09099999999998,0.832817,827.0169999999999,173.748,0.803248,818.201,245.639,0.866518,816.737,319.072,0.876659,957.678,192.78900000000002,0.739378,982.6260000000001,263.254,0.807172,944.403,308.769,0.8564290000000001,901.8660000000001,341.083,0.7365520000000001,866.638,341.101,0.684729,893.049,418.88199999999995,0.700178,935.648,341.07300000000004,0.689793,957.6610000000001,448.24,0.750548
DarPaso,Caminar,Pausa,Neutral,0.0,865.155,153.164,0.887072,894.512,185.46200000000002,0.811192,828.46,178.113,0.814329,818.211,244.21,0.863499,816.7360000000001,314.656,0.879124,957.679,197.238,0.755273,982.613,273.53700000000003,0.813218,938.557,314.654,0.820441,901.855,344.022,0.739058,865.194,342.57,0.687457,885.692,435.036,0.8494729999999999,935.6339999999999,345.477,0.684052,956.17,448.23800000000006,0.751739
DarPaso,Caminar,Pausa,Neutral,0.0,862.26,159.045,0.883943,893.061,194.24599999999998,0.8098420000000001,828.45,181.05700000000002,0.831835,818.201,245.65599999999998,0.8680370000000001,816.7539999999999,311.693,0.889444,957.6410000000001,204.572,0.7485390000000001,981.177,282.339,0.795667,932.6669999999999,323.481,0.8822120000000001,900.403,352.811,0.7152470000000001,865.1560000000001,351.346,0.669043,878.3960000000001,446.786,0.81679,934.188,354.292,0.6734180000000001,954.705,452.68,0.761748
DarPaso,Caminar,Pausa,Neutral,0.0,860.7560000000001,167.88,0.868843,890.1339999999999,197.24599999999998,0.828674,828.44,182.56799999999998,0.832259,819.645,245.671,0.8616290000000001,816.763,310.22,0.87907,956.188,214.834,0.729975,981.135,292.619,0.8383809999999999,929.747,333.73900000000003,0.8658049999999999,898.931,355.759,0.736163,863.687,355.73800000000006,0.687796,872.493,452.659,0.823593,932.71,357.231,0.701781,956.158,458.524,0.751599
DarPaso,Caminar,Pausa,Neutral,0.0,857.808,176.66099999999997,0.848709,888.655,203.058,0.832076,828.457,185.49599999999998,0.812643,821.143,247.106,0.799272,821.113,307.29400000000004,0.8125020000000001,951.797,220.704,0.719019,979.68,299.955,0.845058,920.975,342.564,0.8455469999999999,897.472,358.68,0.739142,862.207,357.218,0.685365,863.71,459.97900000000004,0.829347,932.668,360.176,0.718817,954.698,461.471,0.7530180000000001
DarPaso,Caminar,Pausa,Neutral,0.0,851.932,182.543,0.8678459999999999,885.745,206.043,0.8351719999999999,827.015,186.94299999999998,0.8059069999999999,825.5310000000001,247.105,0.760482,824.071,305.863,0.812462,948.828,228.053,0.7303729999999999,978.182,308.788,0.853459,913.6060000000001,349.89,0.804918,893.06,358.707,0.684067,854.914,355.77,0.655262,854.883,462.95599999999996,0.820567,929.7489999999999,364.55300000000005,0.696394,954.7180000000001,462.92199999999997,0.735053
DarPaso,Caminar,Pausa,Neutral,0.0,846.095,189.85299999999998,0.823031,885.7080000000001,214.83,0.845773,826.992,194.304,0.783519,831.3919999999999,255.924,0.668748,828.445,308.78700000000003,0.803253,945.9110000000001,233.92700000000002,0.716178,973.791,316.116,0.828203,907.7180000000001,358.663,0.8355379999999999,888.6569999999999,366.051,0.68176,851.9760000000001,363.09,0.663485,846.079,467.342,0.8162,928.2710000000001,371.903,0.68804,951.797,471.726,0.7102
