Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y
DarPaso,Caminar,Pausa,Neutral,0.0,860.7560000000001,167.88,890.1339999999999,197.24599999999998,828.44,182.56799999999998,819.645,245.671,816.763,310.22,956.188,214.834,981.135,292.619,929.747,333.73900000000003,898.931,355.759,863.687,355.73800000000006,872.493,452.659,932.71,357.231,956.158,458.524
DarPaso,Caminar,Pausa,Neutral,0.0,857.808,176.66099999999997,888.655,203.058,828.457,185.49599999999998,821.143,247.106,821.113,307.29400000000004,951.797,220.704,979.68,299.955,920.975,342.564,897.472,358.68,862.207,357.218,863.71,459.97900000000004,932.668,360.176,954.698,461.471
DarPaso,Caminar,Pausa,Neutral,0.0,851.932,182.543,885.745,206.043,827.015,186.94299999999998,825.5310000000001,247.105,824.071,305.863,948.828,228.053,978.182,308.788,913.6060000000001,349.89,893.06,358.707,854.914,355.77,854.883,462.95599999999996,929.7489999999999,364.55300000000005,954.7180000000001,462.92199999999997
DarPaso,Caminar,Pausa,Neutral,0.0,846.095,189.85299999999998,885.7080000000001,214.83,826.992,194.304,831.3919999999999,255.924,828.445,308.78700000000003,945.9110000000001,233.92700000000002,973.791,316.116,907.7180000000001,358.663,888.6569999999999,366.051,851.9760000000001,363.09,846.079,467.342,928.2710000000001,371.903,951.797,471.726
DarPaso,Caminar,Pausa,Neutral,0.0,840.201,197.24,882.765,217.76,822.5880000000001,197.205,835.829,266.20599999999996,834.336,313.184,941.493,241.25599999999997,969.418,323.46,898.9689999999999,364.57599999999996,885.7230000000001,370.439,850.5010000000001,366.04400000000004,837.2860000000001,470.284,925.3430000000001,376.3,948.8330000000001,470.28
DarPaso,Caminar,Pausa,Neutral,0.0,835.798,204.54,878.3939999999999,223.65900000000002,818.222,201.608,837.2860000000001,288.226,840.217,357.226,932.703,245.679,964.993,330.788,891.6060000000001,371.892,882.802,377.776,849.0110000000001,371.914,832.8660000000001,473.211,920.938,383.64300000000003,948.828,473.218
DarPaso,Caminar,Pausa,Neutral,0.0,827.0269999999999,210.415,875.438,229.535,816.712,206.00799999999998,837.28,294.11,832.855,361.62699999999995,928.2869999999999,254.468,957.669,339.594,882.802,380.731,881.332,383.664,846.0930000000001,377.78,828.488,476.156,916.555,389.50199999999995,948.8389999999999,477.616
DarPaso,Caminar,Pausa,Neutral,0.0,821.1360000000001,216.326,872.495,239.764,815.242,214.81900000000002,834.37,295.577,824.049,360.181,923.8860000000001,263.26599999999996,953.247,346.96,875.466,388.08099999999996,878.382,389.542,841.673,385.125,828.457,482.029,913.59,392.48,947.3989999999999,483.454
DarPaso,Caminar,Pausa,Neutral,0.0,812.3330000000001,222.16,866.643,244.185,826.995,226.583,834.334,308.789,826.992,363.098,913.6360000000001,266.226,945.8939999999999,357.218,865.182,393.949,873.987,392.47900000000004,838.745,389.541,831.3910000000001,487.87699999999995,909.2080000000001,398.33,944.436,484.936
DarPaso,Caminar,Pausa,Neutral,0.0,803.485,228.049,860.745,250.06400000000002,815.247,228.06099999999998,0.0,0.0,0.0,0.0,906.2810000000001,275.025,932.683,368.944,853.442,405.655,871.055,404.21,837.2769999999999,401.274,829.922,498.148,906.26,405.68199999999996,944.4119999999999,487.88
