Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,771.235,437.978,0.533502,785.877,423.288,0.408717,785.867,528.995,0.515654,766.788,452.651,0.565187,746.2660000000001,567.168,0.7431
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,768.2660000000001,439.445,0.5506770000000001,781.4789999999999,424.767,0.429122,785.877,527.506,0.574466,759.467,454.11400000000003,0.548964,749.211,567.1469999999999,0.720638
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,763.8610000000001,442.376,0.548149,777.095,427.69300000000004,0.45321999999999996,782.972,521.649,0.542982,753.6010000000001,458.51300000000003,0.543283,750.6469999999999,568.6030000000001,0.709382
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,756.553,449.705,0.560582,771.222,432.103,0.484782,781.48,520.169,0.5530010000000001,743.341,462.93199999999996,0.557841,749.189,568.622,0.676477
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,750.677,448.244,0.553883,766.805,432.101,0.490357,780.02,530.443,0.589873,738.93,461.467,0.553689,744.82,570.091,0.716679
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,747.7139999999999,451.19,0.57068,765.3380000000001,435.023,0.521859,775.628,528.992,0.580761,734.534,467.325,0.556401,744.803,568.644,0.7110890000000001
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,741.8760000000001,452.664,0.592237,760.924,436.491,0.52772,772.702,530.462,0.611862,728.6439999999999,468.80400000000003,0.5450550000000001,743.3330000000001,571.582,0.70809
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,738.9019999999999,455.579,0.598859,756.513,437.959,0.531234,768.297,528.9680000000001,0.616697,722.779,470.28,0.565929,743.291,573.036,0.700431
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,734.4910000000001,457.06,0.5772510000000001,749.201,437.98,0.512651,766.8,530.431,0.603507,719.824,474.671,0.5721470000000001,741.832,574.497,0.672342
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,727.17,459.991,0.551991,743.33,440.903,0.496446,762.4,528.9830000000001,0.583838,715.427,479.069,0.5587479999999999,738.926,577.446,0.705016
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,722.7819999999999,464.398,0.553246,740.378,446.784,0.5033380000000001,759.461,530.462,0.608871,711.015,483.48,0.5603279999999999,737.442,580.3580000000001,0.722984
