Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,RHip_x,RHip_y,RHip_c
DarPaso,Caminar,Pausa,Neutral,0.0,772.69,4.95184,0.186182,766.7810000000001,44.5519,0.8266540000000001,709.56,54.8208,0.8276709999999999,688.9889999999999,135.588,0.878825,734.49,150.23,0.8743989999999999,819.6569999999999,38.6428,0.8421190000000001,850.4789999999999,100.301,0.856031,838.732,119.41,0.8345030000000001,750.6560000000001,198.69,0.7166640000000001
DarPaso,Caminar,Pausa,Neutral,0.0,781.49,4.90031,0.5982609999999999,768.2410000000001,53.3468,0.869416,711.029,62.1497,0.818733,690.466,145.832,0.8789520000000001,734.5110000000001,156.132,0.8625950000000001,822.5880000000001,41.6107,0.820433,850.445,101.794,0.8494649999999999,841.688,125.303,0.812875,750.654,204.563,0.711374
DarPaso,Caminar,Pausa,Neutral,0.0,787.375,4.163,0.9092690000000001,769.7330000000001,60.6786,0.879084,713.954,69.5106,0.789482,693.398,150.246,0.884941,735.9680000000001,164.92700000000002,0.8600629999999999,825.53,53.3142,0.825997,848.9910000000001,107.647,0.833851,847.5419999999999,134.10399999999998,0.844044,755.053,213.377,0.729029
DarPaso,Caminar,Pausa,Neutral,0.0,793.237,13.6996,0.79857,771.193,66.5468,0.858389,716.8939999999999,76.8435,0.79277,696.367,157.559,0.866186,735.9630000000001,170.796,0.8521190000000001,828.4630000000001,56.2876,0.843143,850.465,112.08,0.846197,850.453,145.806,0.8391360000000001,756.563,219.239,0.742904
DarPaso,Caminar,Pausa,Neutral,0.0,800.548,19.578,0.839299,772.694,73.91199999999999,0.8442709999999999,719.823,85.6399,0.8084479999999999,700.735,163.444,0.829408,735.9989999999999,179.565,0.846326,831.3839999999999,62.169,0.839557,851.934,119.39200000000001,0.8612700000000001,850.4830000000001,153.186,0.853719,758.035,226.56799999999998,0.729021
DarPaso,Caminar,Pausa,Neutral,0.0,803.497,28.3594,0.887533,778.554,79.7548,0.84415,722.735,90.0493,0.798801,706.617,167.859,0.837368,736.0010000000001,182.579,0.828327,834.346,66.5856,0.843474,853.448,122.325,0.8745229999999999,857.809,163.451,0.8473430000000001,762.4060000000001,229.516,0.727648
DarPaso,Caminar,Pausa,Neutral,0.0,806.427,32.7851,0.8577600000000001,781.502,85.60600000000001,0.8643059999999999,724.2260000000001,97.3957,0.7700199999999999,709.557,172.24099999999999,0.853583,738.93,191.327,0.781606,837.2560000000001,72.4487,0.8506819999999999,857.808,123.833,0.8466229999999999,862.238,169.326,0.88636,768.253,236.854,0.7144159999999999
DarPaso,Caminar,Pausa,Neutral,0.0,812.3389999999999,35.735,0.879296,784.436,87.1126,0.886228,728.6389999999999,100.351,0.777044,712.513,175.21599999999998,0.8238639999999999,738.9060000000001,195.75400000000002,0.765422,840.201,75.3659,0.8472040000000001,860.7689999999999,129.66899999999998,0.849168,865.205,176.676,0.8634299999999999,769.765,242.737,0.7155729999999999
DarPaso,Caminar,Pausa,Neutral,0.0,816.709,40.0949,0.9331079999999999,787.385,90.0445,0.8549610000000001,733.041,104.735,0.7872170000000001,718.382,181.08700000000002,0.803162,749.188,203.07,0.654223,844.6210000000001,78.2869,0.817221,863.676,132.626,0.857366,871.045,181.042,0.859843,777.067,248.581,0.7072470000000001
DarPaso,Caminar,Pausa,Neutral,0.0,821.115,41.5997,0.87402,790.322,97.3764,0.8466450000000001,734.5310000000001,110.615,0.787339,722.7389999999999,186.92700000000002,0.791327,755.078,206.023,0.641095,850.4639999999999,81.2497,0.835623,866.6260000000001,137.037,0.825998,876.925,183.998,0.866699,780.028,254.475,0.688783
DarPaso,Caminar,Pausa,Neutral,0.0,826.9910000000001,48.925,0.853575,793.2689999999999,100.338,0.8596370000000001,738.905,115.006,0.772941,724.235,194.293,0.7946,762.408,213.36,0.6180359999999999,851.9630000000001,85.6571,0.8670610000000001,872.5139999999999,141.446,0.7928729999999999,881.33,191.338,0.858619,784.415,260.336,0.700907
DarPaso,Caminar,Pausa,Neutral,0.0,828.452,53.3213,0.9102370000000001,797.654,103.272,0.845872,740.3910000000001,120.89200000000001,0.790133,727.168,201.609,0.790351,766.811,219.227,0.7235659999999999,854.91,87.1525,0.851145,876.918,145.82299999999998,0.831765,885.727,195.773,0.8831700000000001,787.3610000000001,263.269,0.723046
DarPaso,Caminar,Pausa,Neutral,0.0,831.414,56.2809,0.8944799999999999,802.034,109.12,0.858516,743.336,125.262,0.794632,733.023,213.36700000000002,0.765013,769.7260000000001,228.035,0.7226670000000001,859.28,91.5148,0.815394,881.301,150.259,0.852184,890.1360000000001,201.638,0.8470110000000001,790.288,267.676,0.711442
DarPaso,Caminar,Pausa,Neutral,0.0,834.363,62.1571,0.902751,804.953,113.525,0.8536100000000001,746.285,132.595,0.769827,737.433,219.245,0.7945909999999999,771.199,235.377,0.679337,862.221,98.8416,0.8372149999999999,884.2810000000001,156.09799999999998,0.839282,897.448,207.483,0.849825,793.2180000000001,275.005,0.69265
DarPaso,Caminar,Pausa,Neutral,0.0,838.712,66.5501,0.9010870000000001,806.444,119.411,0.857218,752.138,135.582,0.7703810000000001,738.9110000000001,225.088,0.756195,774.143,242.709,0.6057359999999999,863.711,101.78,0.867057,887.193,159.056,0.8294860000000001,900.41,211.90900000000002,0.85895,797.6239999999999,277.965,0.673016
DarPaso,Caminar,Pausa,Neutral,0.0,840.2339999999999,73.8873,0.879656,809.387,125.264,0.8395459999999999,755.051,145.829,0.766332,743.303,229.502,0.794714,778.543,251.53799999999998,0.673852,866.6239999999999,106.191,0.838175,893.072,166.368,0.809487,904.821,217.75099999999998,0.8714040000000001,803.4810000000001,288.243,0.692349
DarPaso,Caminar,Pausa,Neutral,0.0,846.078,79.7705,0.854024,815.2280000000001,131.16899999999998,0.876017,757.9860000000001,150.24,0.798125,746.2360000000001,233.908,0.7899079999999999,782.97,261.783,0.727197,871.018,112.04700000000001,0.8229290000000001,897.462,170.80200000000002,0.8529180000000001,910.68,225.123,0.871408,804.9830000000001,294.116,0.70923
DarPaso,Caminar,Pausa,Neutral,0.0,850.459,87.0839,0.9146280000000001,816.7180000000001,137.039,0.858585,760.948,159.043,0.762008,750.679,242.702,0.8017850000000001,785.9110000000001,270.608,0.712446,873.982,117.959,0.818243,900.3839999999999,178.127,0.852348,915.084,229.52200000000002,0.863339,809.382,304.388,0.676759
DarPaso,Caminar,Pausa,Neutral,0.0,851.934,94.4416,0.861454,818.217,147.299,0.8616520000000001,765.355,169.3,0.758724,755.046,248.601,0.8060229999999999,785.882,276.46,0.688183,876.935,123.84,0.840849,903.337,182.56599999999997,0.83772,920.939,238.301,0.829606,815.252,311.736,0.708403
DarPaso,Caminar,Pausa,Neutral,0.0,856.36,101.76899999999999,0.889488,822.581,153.161,0.829543,768.273,176.673,0.771663,757.982,263.243,0.829184,794.721,283.844,0.6959350000000001,878.4010000000001,131.158,0.832751,906.2810000000001,188.41400000000002,0.8050229999999999,923.905,242.75599999999997,0.877099,816.745,324.91900000000004,0.688916
DarPaso,Caminar,Pausa,Neutral,0.0,860.755,109.147,0.8905219999999999,826.9989999999999,160.513,0.824889,771.201,184.00099999999998,0.7465510000000001,760.939,269.14,0.817591,800.578,292.642,0.7072510000000001,882.79,137.013,0.845934,909.2339999999999,198.68200000000002,0.856392,928.306,250.082,0.881799,822.6039999999999,330.792,0.658747
DarPaso,Caminar,Pausa,Neutral,0.0,863.704,116.485,0.873491,831.3810000000001,169.325,0.851,775.6139999999999,194.30599999999998,0.7302770000000001,763.887,277.937,0.842464,799.0989999999999,302.907,0.67015,885.705,145.849,0.8401379999999999,912.1360000000001,204.55599999999998,0.8495950000000001,932.679,260.32,0.863236,829.942,338.147,0.664525
DarPaso,Caminar,Pausa,Neutral,0.0,866.6560000000001,123.846,0.866035,834.312,176.675,0.845858,780.0210000000001,203.082,0.732628,769.722,286.77099999999996,0.8499979999999999,812.299,311.717,0.69865,887.173,151.7,0.838505,915.082,213.342,0.8205030000000001,935.617,264.783,0.855942,834.322,345.473,0.689195
DarPaso,Caminar,Pausa,Neutral,0.0,871.052,132.614,0.8845200000000001,835.803,181.08900000000003,0.8686860000000001,781.5169999999999,208.954,0.744671,771.237,295.596,0.8652280000000001,816.7410000000001,319.061,0.7451300000000001,888.672,156.101,0.8211040000000001,918.0269999999999,217.80200000000002,0.826341,941.4860000000001,273.56,0.829134,835.7919999999999,349.89300000000003,0.675154
DarPaso,Caminar,Pausa,Neutral,0.0,875.451,135.546,0.892489,837.297,186.957,0.8330219999999999,784.431,217.783,0.752153,779.9989999999999,302.902,0.8154640000000001,825.507,324.948,0.72523,891.591,159.042,0.8140350000000001,920.923,223.65200000000002,0.828066,944.434,277.967,0.863557,840.2280000000001,358.70099999999996,0.659079
DarPaso,Caminar,Pausa,Neutral,0.0,881.307,139.953,0.870202,840.2139999999999,194.312,0.84404,787.3589999999999,228.03799999999998,0.750583,784.429,310.255,0.867991,824.067,332.279,0.6282760000000001,896.005,163.43200000000002,0.8176,922.413,229.488,0.8581200000000001,945.92,282.348,0.853139,846.08,361.624,0.653575
DarPaso,Caminar,Pausa,Neutral,0.0,884.27,145.811,0.8965549999999999,847.533,197.222,0.829859,791.7810000000001,230.99599999999998,0.725273,788.829,314.66900000000004,0.8565860000000001,835.7810000000001,339.61800000000005,0.711434,898.905,166.36700000000002,0.836325,922.452,230.99400000000003,0.8315870000000001,947.403,286.781,0.849986,850.492,363.102,0.669144
DarPaso,Caminar,Pausa,Neutral,0.0,887.217,148.79,0.8802639999999999,850.505,203.079,0.85739,797.643,239.783,0.706752,793.2539999999999,323.469,0.8531190000000001,840.221,345.50199999999995,0.7181930000000001,900.408,169.324,0.853259,925.3480000000001,233.922,0.8171430000000001,951.765,289.712,0.8416520000000001,853.418,367.522,0.6565489999999999
DarPaso,Caminar,Pausa,Neutral,0.0,897.432,153.175,0.879509,853.453,206.02200000000002,0.8359629999999999,803.5160000000001,241.278,0.7403890000000001,799.084,332.269,0.810528,847.54,355.735,0.7412310000000001,906.2460000000001,172.264,0.834103,928.296,238.33,0.8120109999999999,956.158,294.122,0.859519,857.815,370.458,0.661697
DarPaso,Caminar,Pausa,Neutral,0.0,901.85,157.54,0.8872639999999999,860.768,208.98,0.815738,807.921,245.648,0.723726,803.548,336.691,0.8587799999999999,857.823,358.73900000000003,0.771137,909.2139999999999,176.649,0.8408190000000001,931.212,244.173,0.82862,959.132,298.48900000000003,0.8486610000000001,862.2410000000001,380.718,0.684359
DarPaso,Caminar,Pausa,Neutral,0.0,909.201,159.079,0.8789549999999999,865.1569999999999,214.842,0.831724,815.2439999999999,250.055,0.7229869999999999,810.868,343.98699999999997,0.858682,868.1089999999999,366.05199999999996,0.750602,913.592,181.03099999999998,0.8289700000000001,932.676,247.13,0.8140890000000001,964.987,302.901,0.798289,866.628,386.598,0.649469
DarPaso,Caminar,Pausa,Neutral,0.0,913.6360000000001,166.357,0.866233,872.487,217.801,0.80701,821.122,254.46400000000003,0.6933699999999999,818.194,348.444,0.8296879999999999,878.393,370.469,0.795192,919.4860000000001,183.99400000000003,0.807802,935.64,251.53099999999998,0.769501,969.4019999999999,307.32099999999997,0.8245610000000001,875.43,389.534,0.678046
DarPaso,Caminar,Pausa,Neutral,0.0,923.895,167.86700000000002,0.8865940000000001,878.3689999999999,226.549,0.813909,828.482,263.26,0.7163649999999999,829.943,357.218,0.8558959999999999,888.654,377.795,0.713386,925.345,189.86599999999999,0.7772859999999999,942.949,251.555,0.759768,973.824,310.232,0.838686,881.2869999999999,393.939,0.669664
DarPaso,Caminar,Pausa,Neutral,0.0,931.2560000000001,172.255,0.902123,884.273,229.517,0.8227979999999999,837.263,266.225,0.712849,840.188,361.644,0.84319,900.3969999999999,383.639,0.788694,929.785,195.725,0.805088,945.905,260.344,0.759517,979.654,313.193,0.8526739999999999,885.727,396.88,0.67091
DarPaso,Caminar,Pausa,Neutral,0.0,941.51,173.725,0.849878,893.077,238.32299999999998,0.771258,847.556,273.57,0.694872,853.413,370.436,0.8506879999999999,920.937,389.525,0.673875,935.648,201.606,0.764792,953.2460000000001,267.671,0.74654,989.945,320.509,0.762915,896.01,404.228,0.667517
DarPaso,Caminar,Pausa,Neutral,0.0,948.847,178.13,0.843572,900.425,241.266,0.815167,856.3480000000001,277.94,0.7021689999999999,866.637,379.236,0.810307,947.38,392.44,0.660353,945.92,204.52900000000002,0.799858,959.11,272.07599999999996,0.720713,994.3560000000001,321.983,0.750513,901.878,410.087,0.666203
DarPaso,Caminar,Pausa,Neutral,0.0,957.68,182.555,0.8940819999999999,910.705,245.675,0.8252149999999999,865.188,285.301,0.687706,882.811,388.05699999999996,0.8428540000000001,966.453,393.935,0.599172,954.71,208.968,0.766107,967.932,276.464,0.752459,1006.09,326.39599999999996,0.766889,910.692,415.93199999999996,0.665407
DarPaso,Caminar,Pausa,Neutral,0.0,969.418,188.394,0.8610260000000001,922.416,251.514,0.782859,879.84,291.165,0.7012729999999999,898.928,395.39099999999996,0.8232149999999999,979.69,401.278,0.735279,962.053,214.82299999999998,0.773435,978.179,276.519,0.762145,1020.78,330.81,0.7193649999999999,919.493,420.342,0.6391479999999999
DarPaso,Caminar,Pausa,Neutral,0.0,979.7,191.34400000000002,0.8921899999999999,932.706,254.46599999999998,0.8009689999999999,893.065,294.101,0.673134,915.1010000000001,402.718,0.792723,998.7719999999999,401.26800000000003,0.771738,972.3489999999999,217.763,0.7860229999999999,991.426,280.887,0.780331,1036.93,332.26300000000003,0.7389479999999999,931.245,426.24,0.6419739999999999
DarPaso,Caminar,Pausa,Neutral,0.0,992.8910000000001,194.25799999999998,0.901122,945.935,258.882,0.787488,906.2860000000001,297.051,0.69035,931.2460000000001,405.667,0.857361,1016.36,402.736,0.8041119999999999,981.17,220.708,0.770336,1003.16,282.349,0.75794,1051.61,330.805,0.7273189999999999,944.4169999999999,430.639,0.641081
DarPaso,Caminar,Pausa,Neutral,0.0,1004.63,195.734,0.9044639999999999,959.1010000000001,263.26599999999996,0.8072729999999999,920.954,302.901,0.664209,948.8580000000001,408.595,0.833061,1034.0,402.731,0.779758,994.3589999999999,225.109,0.7826960000000001,1017.85,283.834,0.751711,1070.68,330.80699999999996,0.705732,957.648,436.49699999999996,0.650278
DarPaso,Caminar,Pausa,Neutral,0.0,1017.87,195.747,0.89156,972.352,263.293,0.794717,934.1669999999999,302.921,0.656287,967.936,410.069,0.8229850000000001,1057.46,401.279,0.784772,1006.1,226.562,0.781825,1036.92,288.255,0.764842,1094.19,332.26,0.725528,972.3480000000001,437.985,0.6551710000000001
DarPaso,Caminar,Pausa,Neutral,0.0,1029.58,195.753,0.879236,987.0,264.73,0.768191,950.312,304.38599999999997,0.6595989999999999,989.931,408.621,0.812176,1075.11,401.283,0.782303,1020.76,226.56599999999997,0.7942670000000001,1048.66,286.747,0.789273,1107.39,322.006,0.769617,984.085,440.92400000000004,0.636993
DarPaso,Caminar,Pausa,Neutral,0.0,1044.25,195.745,0.899158,1000.24,264.73400000000004,0.798584,967.909,302.922,0.646279,1006.08,408.595,0.847717,1091.24,404.186,0.837419,1029.61,228.013,0.782195,1067.75,285.307,0.799898,1129.42,319.05,0.7736069999999999,998.7719999999999,445.311,0.65064
DarPaso,Caminar,Pausa,Neutral,0.0,1057.48,195.72400000000002,0.89855,1013.44,266.233,0.7763899999999999,979.688,307.3,0.654691,1026.63,408.593,0.8685290000000001,1111.82,402.735,0.807048,1044.26,228.05200000000002,0.786389,1085.35,282.344,0.794878,1149.96,313.19,0.825091,1014.93,451.17199999999997,0.660573
DarPaso,Caminar,Pausa,Neutral,0.0,1070.68,194.31599999999997,0.9178299999999999,1025.16,269.159,0.794257,994.3689999999999,308.788,0.675696,1045.74,407.165,0.85674,1136.76,396.865,0.804035,1053.06,229.493,0.751491,1098.57,276.515,0.82776,1169.05,308.79,0.8518549999999999,1026.66,452.631,0.659622
DarPaso,Caminar,Pausa,Neutral,0.0,1080.98,195.745,0.8874110000000001,1035.45,269.165,0.746329,1007.55,310.232,0.665084,1063.36,407.134,0.870467,1155.84,396.856,0.800595,1060.41,229.537,0.708802,1110.32,272.087,0.786829,1188.15,298.475,0.842764,1041.32,451.199,0.637337
DarPaso,Caminar,Pausa,Neutral,0.0,1092.71,197.19400000000002,0.913991,1045.73,272.064,0.7660020000000001,1020.79,308.8,0.668208,1076.59,405.71,0.833992,1176.38,395.38800000000003,0.770299,1070.71,230.987,0.698441,1125.01,267.681,0.7862819999999999,1204.28,292.655,0.834161,1053.09,454.11800000000005,0.638996
DarPaso,Caminar,Pausa,Neutral,0.0,1103.01,197.213,0.892699,1056.0,272.092,0.745782,1034.0,311.721,0.645762,1095.64,407.129,0.838535,1194.02,395.41900000000004,0.77983,1078.03,230.99099999999999,0.66088,1139.7,264.725,0.797603,1218.95,286.753,0.778872,1067.76,454.108,0.639157
DarPaso,Caminar,Pausa,Neutral,0.0,1114.75,198.685,0.8854549999999999,1066.3,273.563,0.732136,1048.68,313.203,0.6488010000000001,1114.75,408.593,0.821274,1214.57,393.962,0.827358,1086.84,232.447,0.593812,1152.89,261.793,0.759541,1236.58,276.48,0.80409,1075.12,452.666,0.6350210000000001
DarPaso,Caminar,Pausa,Neutral,0.0,1125.0,200.136,0.876655,1075.1,275.004,0.704357,1063.37,317.594,0.6389520000000001,1133.84,408.61199999999997,0.8427610000000001,1232.2,392.495,0.8339059999999999,1095.63,233.90900000000002,0.5189739999999999,1167.59,254.483,0.557959,1249.8,269.145,0.79994,1088.31,454.12800000000004,0.591619
DarPaso,Caminar,Pausa,Neutral,0.0,1136.77,201.59599999999998,0.89712,1086.84,275.033,0.665443,1079.51,320.518,0.624624,1154.35,408.63300000000004,0.828283,1251.29,392.466,0.8313159999999999,1095.66,236.84400000000002,0.47501000000000004,1183.74,251.532,0.7013,1261.53,263.307,0.8058850000000001,1097.14,454.13800000000003,0.611057
DarPaso,Caminar,Pausa,Neutral,0.0,1148.52,201.60299999999998,0.8754770000000001,1094.19,276.474,0.658117,1094.17,321.998,0.646262,1169.06,408.594,0.8535459999999999,1270.33,392.47,0.808531,1095.64,239.782,0.42865200000000003,1185.2,250.03099999999998,0.718278,1271.81,258.86,0.7615270000000001,1107.4,454.124,0.607273
DarPaso,Caminar,Pausa,Neutral,0.0,1160.26,204.52700000000002,0.8887459999999999,1100.05,276.478,0.6487729999999999,1107.39,324.925,0.636538,1185.2,410.075,0.8532040000000001,1286.48,392.44199999999995,0.83239,1089.78,239.78799999999998,0.49287,1191.08,247.145,0.733205,1283.52,253.017,0.810126,1119.15,458.52099999999996,0.6302300000000001
DarPaso,Caminar,Pausa,Neutral,0.0,1170.54,205.998,0.872245,1111.79,277.973,0.622984,1120.61,326.39599999999996,0.628533,1199.9,408.635,0.81892,1301.19,392.45099999999996,0.817461,1092.71,241.267,0.483466,1208.69,245.687,0.697308,1296.76,250.075,0.842153,1127.94,457.061,0.591228
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,1183.76,208.965,0.87466,1119.14,279.441,0.6657770000000001,1136.74,332.274,0.607437,1216.04,411.529,0.83244,1317.33,392.464,0.792892,1100.04,244.205,0.563793,1221.9,245.643,0.671315,1308.49,248.575,0.8252219999999999,1138.23,458.529,0.600932
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,1195.48,211.908,0.854167,1132.33,285.305,0.617837,1149.97,338.135,0.608232,1232.16,413.01800000000003,0.832522,1330.55,393.917,0.808756,1108.87,245.642,0.560125,1235.11,245.648,0.686366,1321.71,244.22,0.812772,1151.42,462.921,0.5849770000000001
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,1207.23,216.263,0.866065,1141.15,285.298,0.676719,1164.64,339.598,0.6081270000000001,1248.29,415.92199999999997,0.823089,1345.25,395.39300000000003,0.786496,1120.59,244.185,0.6073810000000001,1240.99,244.202,0.6975140000000001,1329.08,242.71900000000002,0.8259040000000001,1161.69,460.004,0.5834189999999999
