Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y
DarPaso,Caminar,Pausa,Neutral,0.0,565.69,486.425,511.37,455.587,504.036,501.11699999999996,575.9680000000001,490.825,639.067,577.444
DarPaso,Caminar,Pausa,Neutral,0.0,530.4680000000001,464.39599999999996,502.555,455.593,499.657,504.014,558.3530000000001,476.147,624.393,570.102
DarPaso,Caminar,Pausa,Neutral,0.0,517.237,457.06,490.81199999999995,454.13800000000003,495.217,502.56,545.122,462.925,611.2040000000001,565.692
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,511.361,455.597,486.39,455.594,489.36,501.108,534.882,457.046,603.8290000000001,559.816
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,504.043,451.173,479.083,451.19699999999995,484.934,499.645,531.896,451.18800000000005,595.066,552.488
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,498.14300000000003,451.165,470.28,454.10400000000004,483.46,502.56,521.668,445.31199999999995,590.625,546.591
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,487.9,443.86,464.39,452.64599999999996,479.08099999999996,504.027,515.793,439.42800000000005,581.851,539.253
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,483.459,443.846,457.045,454.10699999999997,476.134,508.423,509.894,436.49699999999996,575.9780000000001,531.898
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,474.67699999999996,439.421,451.148,451.181,470.292,506.954,502.559,430.62800000000004,570.0930000000001,527.528
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,470.255,437.98800000000006,442.38,451.189,467.32,508.418,498.181,427.7,561.284,520.178
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,464.42,437.94599999999997,437.98800000000006,451.204,464.403,508.434,493.756,423.30699999999996,553.9490000000001,512.852
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,461.44,437.945,435.022,451.20599999999996,462.93300000000005,509.894,487.871,421.835,548.0980000000001,509.901
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,454.142,435.045,429.14599999999996,449.717,457.07300000000004,508.436,483.499,420.341,537.788,504.035
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,454.102,437.94,426.23,451.202,454.096,508.43,483.473,421.824,531.943,502.57099999999997
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,451.171,436.48800000000006,421.81699999999995,451.165,452.63699999999994,509.87800000000004,480.534,420.337,531.8919999999999,504.038
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,448.25699999999995,435.01099999999997,418.89599999999996,449.714,449.69800000000004,506.967,477.601,417.439,524.609,502.583
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,442.381,429.159,415.94300000000004,445.315,445.30699999999996,506.98,474.652,413.032,523.115,504.038
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,440.89599999999996,429.142,414.462,445.305,445.30400000000003,509.879,471.727,411.56300000000005,521.64,506.96
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,439.431,429.166,412.999,446.787,449.715,511.355,468.819,411.561,518.724,506.964
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.99199999999996,429.148,411.54699999999997,446.78,452.61199999999997,511.35900000000004,468.791,410.097,517.235,509.88599999999997
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.985,429.19199999999995,411.561,449.70099999999996,452.664,512.831,468.784,411.566,514.299,509.909
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.965,430.649,410.098,449.721,452.67900000000003,512.856,467.339,413.01800000000003,512.8530000000001,512.835
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.95599999999996,430.64599999999996,410.085,451.155,452.689,512.846,467.338,413.022,515.765,518.715
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.944,435.022,410.061,452.659,455.61400000000003,520.172,467.335,415.969,515.79,520.2
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,436.48900000000003,436.505,407.162,454.13599999999997,454.106,520.163,465.86699999999996,417.43800000000005,517.2180000000001,521.635
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,436.504,437.99199999999996,407.16900000000004,457.046,451.19599999999997,520.2,467.33,421.81199999999995,514.32,520.196
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.95599999999996,440.93300000000005,408.61400000000003,461.44199999999995,446.765,520.192,470.25800000000004,426.24,515.778,530.446
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,439.41900000000004,443.855,410.082,462.92199999999997,443.86199999999997,523.106,471.73900000000003,429.158,512.8340000000001,528.988
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,440.92699999999996,449.73199999999997,413.02,465.849,446.79,529.005,474.68,435.037,515.76,533.4209999999999
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,446.777,452.666,417.39300000000003,468.80300000000005,451.149,533.422,477.63,437.955,520.172,543.67
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,451.17699999999996,457.04400000000004,418.91,473.214,452.67199999999997,539.263,482.015,440.898,521.648,545.117
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,454.097,461.44800000000004,423.30800000000005,477.63,459.981,548.107,484.962,445.31199999999995,526.056,549.524
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,455.61,465.851,427.7,483.483,476.163,575.962,487.87699999999995,451.175,528.98,553.945
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,460.00699999999995,471.731,430.645,487.875,484.94800000000004,584.784,492.28,454.126,531.952,561.3
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,462.91900000000004,474.665,433.58099999999996,492.284,487.899,587.711,493.751,455.594,533.419,565.694
